['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['आदर्शहीन', 'आदर्शपरक', 'आदर्शतम', '4आदर्श', 'आदर्शजीवन', 'आदर्शी', 'आर्दश']
['रमणीयरूपं', 'रमणीयामरमणीं', 'रमणीया', 'रमणीयार्थ', 'रमणीयतायाः', 'रमणीयतरमन्यत्', 'रमणीत्व']
['8114', '81145', 'दिकोया', 'पुनेम', 'कोयाम', 'पुनेमता', 'सेकोया']
['अकशेरुकीय', 'अकशेरुक', 'अकशेरुकियों', 'अकशेरुकी', 'अधिकशेरुकी', 'अकशेरु', 'कशेरुकदंडियों']
['द्रवचालन', 'वचालित', 'जलचालित', 'मानवचालित', 'बहुचालित', 'वायुचालित', 'विद्युच्चालित']
['ठरमरुआ', 'मतमरुआ', 'लतरी', 'तिंदुक', 'छुइमुइ', 'काकमाची', 'दमरुआ']
['घुना', 'पिसता', 'सड़', 'बीज़', 'दीमको', 'कीडे', 'कीड़ों']
['घोंघानाशी', 'घोंघाई', 'रहेउस', 'घोंघाबसंत', 'घोंघाट', 'घोंघें', 'सीरमघोंघा']
['कौड़ीक', 'सिकौड़ी', 'बकौड़ी', 'छकौड़ी', 'पचकौड़ी', 'निमकौड़ी', 'गईखो']
['पदोन्नती', 'प्रोन्नति', 'पदोन्नतियां', 'पदोन्नतियाँ', 'पदोन्नतिदंपति', 'पदोन्न्ति', 'पदोन्नत्ति']
['अर्थावनति', 'पदोन्नति', 'पदोन्नतियों', 'प्रभारित', 'अवनति', 'BANE', 'पदाविहित']
['खाद्य_पूरक', 'खाद्यआंदोलन', 'घरेलू_हिंसा', 'खाद्यपात्र', 'खाद्यी', 'शैक्षणिक_विषयों_की_सूची', 'हिन्दू_पर्वों_की_सूची']
['समुद्रफेनियों', 'समुद्रफेनियाँ', 'समुद्रीफेनी', 'समुद्रफूल', 'समुद्रापगामी', 'शीर्षपादों', 'समुद्र्र']
['संक्रमणहो', 'संक्रमणहै', 'संक्रमणों', 'क्षयसंक्रमण', 'सूचीसंक्रमण', 'निसोकोमिअल', 'संक्रमणमें']
['झींग', 'घींगा', 'झींगी', 'झींगालाला', 'तसींगा', 'झींगे', 'Mowa']
['हस्तानांतरण', 'हस्तांतरित', 'हस्तान्तरण', 'हस्तांतरणअनुसंधान', 'हस्तांतरणीयता', 'हस्तांतरणों', 'संत्ता']
['महाबोर', 'अपडेटसैमसंग', 'महाबेधक', 'महाबदमाश', 'महाबाहू', 'महाबा', 'निराह्लाद']
['hogtied', '1705070806', 'टिकटबुकिंगकरतेवक्\u200dतIRCTCडालरहाहैआपकीजेबपरडाकामोबाइलपरइंटरनेटकेबादअबबातकरनाभीहुआमहंगाइनकमटैक्\u200dसबचानेकेसातउपायमोबाइलपरमुफ्तरोमिंगकीशुरुआत', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'WWW.SATTAMATKAKURLADAY.COMWWW.SATTAMATKAKURLA.COMWWW.KURLASATTA.COMWWW.SATTAKURLADAY.COMWWW.SATTAKURLADAY.INWWW.KURLASATTAKURLA.INWWW.KURLASATTAKURLA.COMWWW.KURLASATTA.INWWW.KURLABAZAR.COMWWW.SATTA1', 'COMWWW.SATTAMATKAK.COMWWW.SATTAMATKAK.NETWWW.SATTAMATKANO1K.COMWWW.SATTAMATKANO1K.INWWW.SATTAMATKANO1K.NET', 'हैआँसू']
['मानव_शरीर_रचना_विज्ञान', 'राजस्थानी_के_लिए_साहित्य_अकादमी_पुरस्कार_विजेताओं_की_सूची', 'ऊर्जा_संरक्षण_का_नियम', 'प्रणाली_में_प्रयुक्त_पादपों_की_सूची', 'मोटर_एवं_इंजन_प्रौद्योगिकी_की_समयरेखा', 'भौतिक_विज्ञान_में_अनसुलझी_पहेलियों_की_सूची', 'साहित्य_में_नोबेल_पुरस्कार']
['हंसाण', 'हंसायिये', 'हंसानन', '६०५२', 'हंसात', 'हंसाए', 'हंसावली']
['बगुलन', 'बगुलाए', 'बगुलाभगत', 'बगुलें', 'बगुलाहा', 'आगबगुला', 'बगुले']
['सारसो', 'सारसों', 'सारसट', 'टाइरानोसारस', 'कुरलहिं', 'क्रौँच', 'सारसापेरिला']
['चाहावो', 'चाहातो', 'चाहाकुछ', 'चाहात', 'चाहां', 'चाहाजो', 'चाहाकि']
['समुद्रकूप', 'समुद्रकोई', 'समुद्रकी', 'समुद्रके', 'समुद्र्', 'समुद्रक', 'समुद्रशलि']
['क्रौंध', 'क्रौंचपदी', 'क्रौंचपते', 'नीलक्रौंच', 'यत्क्रौंच', 'क्रौंचवध', 'क्रौंचारि']
['पनडुब्ब', 'पनडुब्बीचालक', 'पनडुब्बीनाशक', 'पनडुब्बे', 'पनडुब्बा', 'पनडुब्बीमार', 'पनडुब्\u200dबी']
['पेंग्विंन', 'पेंग्विंस', 'पैंग्विन', 'पेंग्विनों', 'पेंग्इन', 'पेंग्विन्स', 'पेंग्विंन्स']
['व्हेलें', 'व्हेल्स', 'व्हेला', 'व्हेलों', 'व्हेलर्स', 'व्हेलर', 'व्हेलन']
['अनंतरिम', 'तरिम', 'अन्तरिम', '15,17,20,24,27', 'पश्चाक', 'रीफ्यूगियम', 'गठित']
['सद्व्यवहारी', 'दुर्व्यवहारी', 'व्यवहारन', 'व्यवहारअच्छा', 'समाजव्यवहार', 'उदारनैतिक', 'मनुष्यहारी']
['पदभ्रमित', 'अर्थभ्रमित', 'भ्रमितं', 'पथभ्रमित', 'संभ्रमित', 'प्रमित', 'दिग्\u200dभ्रमित']
['सुंदर', 'लुभावना', 'अतिआकर्षक', 'खूबसूरत', 'पहलेFlyFLVआकर्षक', 'AMआकर्षक', 'लुभावनी']
['एकिस', 'एकंक', 'ख्\u200dौर', '४,१६०', 'azis', 'जलकाक', 'शलयाश्न']
['हुनाक', 'तोड़ीOUR', 'प्रक्रिओया', 'तोड़ीबहन', 'तोड़के', 'तोड़ीविधवा', 'क्लुम']
['बढ़ीसेवानिवृत्ति', 'फंडसेवानिवृत्ति', 'योजनासेवानिवृत्ति', 'निवेशसेवानिवृत्ति', 'पैसासेवानिवृत्ति', 'आदिसेवानिवृत्ति', 'रिटायरमेंटसेवानिवृत्ति']
['बुलडाॅग', 'बुलडॉगस', 'बुलडॉग्स', 'बुलडोज़र', 'बुलडोज़रों', 'भूँकते', 'भौंका']
['लकड़बग्धा', 'लकड़बग्घे', 'लकड़बग्गा', 'लगड़बग्घे', 'लकड़बग्घा', 'लकड़बघ्घा', 'लकड़बघ्घों']
['लोमड', 'लोमड़ीयां', 'लोमड़पन', 'लोमड़ों', 'लोमडी', 'हैलोमड़ी', 'लोमडी़']
['बिल्लीबिल्ली', 'चिबिल्ली', 'गधाबिल्ली', 'vidsबिल्ली', 'लगाबिल्ली', 'बादबिल्ली', 'डिकबिल्ली']
['उदबिलाव', 'गंधबिलाव', 'ऊऊदबिलाव', 'बिलाव', 'ऊदबिलाव', 'बनबिलार', 'asclepias']
['1705070806', 'क्रिफ्फ्वेक्न्फ्द्जुह्ग्विओल्स्ग्र्म्३फ्ज्निफ्ह्ग्फ्ह्सित्मिज्धेसिउथ्मिदुग्भ्फिउघिउफ्व्न्य्', 'WWW.SATTAMATKAKURLADAY.COMWWW.SATTAMATKAKURLA.COMWWW.KURLASATTA.COMWWW.SATTAKURLADAY.COMWWW.SATTAKURLADAY.INWWW.KURLASATTAKURLA.INWWW.KURLASATTAKURLA.COMWWW.KURLASATTA.INWWW.KURLABAZAR.COMWWW.SATTA1', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'CGbYld41FmtPmwDscz_1zkedyrXOvcY2m7pEiQFGb_1c7CAwzcBDAxf9wxFkSxLc8MUG4KPJcQwpq6YW6SMG29NmuE37Itq37AKobeUZJorkdDg8_144tuJuKOp9X60_14R9P7kZ1gYLEu1nMm_1qe8nWxBrNsJ7bprTRzCo1x9I0anzqRfCaSD6EOeFhwE_1CDWKU5jBBCoKfrCI3NLz6', 'COMWWW.SATTAMATKAK.COMWWW.SATTAMATKAK.NETWWW.SATTAMATKANO1K.COMWWW.SATTAMATKANO1K.INWWW.SATTAMATKANO1K.NET', '2BAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAEhQTFRFr73ZobTPusjdsMHZp7nVwtDhzNbnwM3fu8jdq7vUt8nbxtDkw9DhpbfSvMrfssPZqLvVztbno7bRrr7W1d']
['शेरनीया', 'शेरन', 'शेरनाज', 'शेरनिया', 'बाघिन', 'शेरनियों', 'तेजिका']
['चेष्टïा', 'प्रयत्न', 'चेष्टाि', 'चेष्टते', 'चेष्टाकृत', 'कामचेष्टा', 'चेष्टा्']
['गंधबिलाव', 'उदबिलाव', 'ऊऊदबिलाव', 'बिलाव', 'वालाइइतालवीउउत्तमउद्यानउभयलिंगीऊऊदबिलावऊदबिलावएएकलएक्सोटिकएशियाईएशियाई', 'बिलावड़ो', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU']
['आवेवला', 'सामनेवला', 'छेवेवला', 'चुगेवला', 'पड़नेवला', 'रहेवला', 'चलनेवला']
['चमगादड', 'गादड़', 'चमगादडों', 'चमगादड़ो', 'चमगादड़ें', 'चमगादड़ों', 'चमगाद्ड़']
['फडफडाकर', 'पंखो', 'पँख', 'फडफडा', 'फड़फड़ाए', 'परों', 'फड़फड़ाये']
['टॉप', 'गोरसोन', 'रेंकिंग', 'टेन', 'टाॅपर', 'ललगे', 'हाईएस्ट']
['टॉप', 'गोरसोन', 'रेंकिंग', 'टेन', 'टाॅपर', 'ललगे', 'हाईएस्ट']
['पंजां', 'सालमपंजा', 'पंजांङ', 'सलमपंजा', 'पंजे', 'लालपंजा', 'पंजातन']
['चंगुलों', 'चंगुलानी', 'चुंगुल', '38897', 'चंगुला', '5010वट', 'गिरफ्त']
['वधशाला', 'दुधारू', 'जानवर', 'जानवरों', 'पक्षी', 'पालतु', 'दुधारु']
['पुच्छहीन', 'पुच्छलतारा', 'पुच्छण', 'पुच्छऽ', 'पुच्छल्ला', 'ढोलहो', 'पुच्छो']
['पश्चातमैं', 'पश्चात्कपाल', 'पश्चातो', 'पश्च\u200dिम', 'पश्चाेत्', 'पश्चाित्', 'पश्चाच्छरीरो']
['तिरंगा', 'लिएझंडा', 'काझंडा', 'झण्डा', 'झण्ड़ा', 'परझंडा', 'लालझंडा']
['गबरैला', 'गुब्बा', '1705070806', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'शॉटपेशाबपेशाबमूत्रgoldenshowerwatersportswampeedrinkingpissdrinkingलुभानामनोहरtightpussyरसदारcollegegirlदिलेरघुड़सालtwinkस्टड्सपुरुषोंसहbarebackedनस्लcumswapप्रजननस्नोबॉलशरीरमांसपेशीआदमीअप्रेंटिसमैलासमयपहलेगड़बड़साथयहसुबहक्लिपdrilledभगशेफdoggingअसभ्यशुक्राणुjizzपिटाई', 'पैरैला', 'गुब्बारेवाला']
['करहत्या', 'परहत्या', 'नरहत्याएँ', 'भू्रणहत्या', 'शिशुहत्या', 'मानववध', 'भ्रुणहत्या']
['पिस्सु', 'पिस्सूओं', 'जलपिस्सू', 'पिस्सुओं', 'पिस्से', 'किस्सू', 'पिस्स']
['उड़नानील', 'उड़ना', 'उड़ने', 'उड़नी', 'चड़ना', 'उडाना', 'उड़ाना']
['मच्छरों', 'मच्छरो', 'मच्छरता', 'मच्छरा', 'मच्छरवा', 'मच्छरके', 'मच्छड़']
['अनुगमनीय', 'अंधानुगमन', 'अनुगम', 'अनुग', 'अनुगह', 'अनुगता', 'अनुगमित']
['कत्लेआमों', 'कत्लेयाम', 'क़त्लेआम', 'कत्लेाम', 'कत्लोगारद', 'कत्लयाम', 'कत्ले']
['भौंरदा', 'भौंरो', 'भौंराले', 'भौंरापाट', 'भौंराहा', 'भौंरें', 'भौंर']
['आपततैया', 'ततैयों', 'ततैये', 'अच्थ', 'ततैयें', 'तितैया', 'जितैया']
['गोलीबारूद', 'गोलीबाजी', 'गोलीबाल', 'फायरिंग', 'बमबाजी', 'फायरिंगः', 'गाेलीबारी']
['सकेअभेद्य', 'निर्भेद', 'अच्छेद्य', 'अछेद्य', 'अविभेद्य', 'अक्लेद्य', 'निर्भऱ']
['अर्धपारगम्य', 'पारगम्यता', 'शास्त्रगम्य', 'पारगमित', 'जलशोषक', 'permeable', 'बौधगम्य']
['अर्धपारगम्य', 'पारगम्यता', 'शास्त्रगम्य', 'अत्यलप', 'दुर्गलनीय', 'शब्दगम्य', 'बौधगम्य']
['अप्रवेश्यता', 'अप्रवेशी', 'प्रवेश्यता', 'प्रवेश्', 'प्रवेशछिद्र', 'अप्रवाह', 'अप्रवाशी']
['तनावमानसिक', 'मानिसक', 'मानसिकरूप', 'मानसिकरुप', 'शारारिक', 'है.मानसिक', 'शारिरीक']
['मनोविज्ञानिको', 'मनोविज्ञानियों', 'मानोविज्ञानिक', 'मनोविज्ञानगत', 'मनोविज्ञाना', 'मनोविज्ञान्', 'मनोविज्ञानक']
['द्वैतवादी', 'अद्वैतवाद', 'शिवाद्वैतवादी', 'द्वैताद्वैतवादी', 'शुद्धाद्वैतवादी', 'विशिष्टाद्वैतवादी', 'द्वैतवाद']
['धार्मिकि', 'अंतधार्मिक', 'सधार्मिक', 'AMधार्मिक', 'काधार्मिक', 'agoधार्मिक', 'PMधार्मिक']
['मरोड़कर', 'मरोड़ी', 'मरोड़े', 'मरोड़ि', 'मरोडे', 'मरोड़फली', 'मरोड़ा']
['टिड्डा', 'टिड्डिम', 'टिड्डियों', 'डिड्डी', 'टिड्डे', 'टिड्डियां', 'टिड्डों']
['क्रिकेटीय', 'क्रिकेटप्रेमी', 'क्रिकेत', 'क्रिकेटिंग', 'क्रिकेटऔर', 'क्रिके्रट', 'समाचारक्रिकेट']
['थीतितली', 'pmतितली', 'सौरभतितली', 'मेंतितली', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', '1705070806', 'टिकटबुकिंगकरतेवक्\u200dतIRCTCडालरहाहैआपकीजेबपरडाकामोबाइलपरइंटरनेटकेबादअबबातकरनाभीहुआमहंगाइनकमटैक्\u200dसबचानेकेसातउपायमोबाइलपरमुफ्तरोमिंगकीशुरुआत']
['अश्लीलअश्लील', 'मिनअश्लील', 'परअश्लील', 'बारअश्लील', 'हैंअश्लील', 'टीनअश्लील', 'कदमअश्लील']
['स्दंमाता', 'मां', 'माँ', 'सुंधामाता', 'रायमाता', 'है.माता', 'माता.पिता']
['लार्वायुक्त', 'लार्वाओं', 'लार्वल', 'लार्वी', 'लार्वो', 'लार्वें', 'लार्वों']
['प्यूपावस्था', 'प्रिप्यूपा', 'न्यूपा', 'प्यूपुल', 'प्यूपों', 'प्यूपल', 'प्यूपे']
['दीवानखाना', 'बानखाना', 'परीखाना', 'चौखाना', 'मेहमानखाना', 'महफिलखाना', 'सिलहखाना']
['अविवेकता', 'अविवेक', 'अविवेकशील', 'अविवेकवादी', 'बुद्धिविवेकी', 'अविवेकवाद', 'अविवेका']
['कोईठिकाना', 'हैंठिकाना', 'काठिकाना', 'ठौर', 'ठिकानाअब', 'ठिकानामुझे', 'मतीर']
['गिनीस', 'गिनीआ', 'गिनीपोंग', 'गिनीवर्म', 'गिनीह', 'गिनीथा', 'गिनीचुनी']
['थनों', 'दुहते', 'ट्\u200cयूब', 'दुहता', 'बछड़ा', 'थनो', 'चुचुक']
['मकोह', '७८१९', 'PRDC', 'नराच', 'रोंटगी', '५०१५', '8158']
['बलवेड़ा', 'घेड़ा', 'तेड़ा', 'बजघेड़ा', 'ककेड़ा', 'कथेड़ा', 'नेड़ा']
['अेड़ी', 'राचीजेड़ी', 'झंझेड़ी', 'धेड़ी', 'सठेड़ी', 'ढेड़ी', 'रथेड़ी']
['घोड़ां', 'घोड़ापर', 'घोड़ाें', 'घोड़ावज', 'घोड़ादेही', 'घोड़ासवारी', 'घोड़ाक']
['घोड़ीपर', 'घोड़ीकर्ज', 'घोड़ीतलाक', 'घोड़ौना', 'घोड़बा', 'घोड़ौ', 'घोड़बंदर']
['साऊदी', 'अमीरिट', 'अमिरात', 'इमारा', 'इमिरेट्स', 'अमारात', 'डॉलर']
['टट्ट', 'टट्टुओं', 'टट्टूक', 'टट्टओं', 'ट्ट्टू', 'टट्टा', 'टट्टल']
['पेनलेस', 'अनलेस', 'ब्रेनलेस', 'स्\u200dटेनलेस', 'मजाजों', 'बोनलेस', '2017स्टेनलेस']
['टट्ट', 'टट्टुओं', 'टट्टूक', 'टट्टओं', 'ट्ट्टू', 'टट्टा', 'टट्टल']
['औररोचक', 'आरोचक', '7रोचक', '20रोचक', '56रोचक', '27रोचक', '03रोचक']
['01अरे', 'धनवान', 'वचनी', 'करडिया', 'निर्धन', 'समृद्ध', 'धनवान्']
['ओयोजित', 'सुनयोजित', 'समयोजित', 'योजिाओं', 'मानयोजित', 'आजोजित', 'प्रोयोजित']
['सुखदायी', 'आनंददायी', 'सुखदुःखरूप', 'सुखदर', 'हितप्रद', 'सुखदता', 'हैसुखद']
['अनाकर्षित', 'अाकर्षक', 'अनाकरकली', 'अनाकरली', 'अकर्षक', 'ध्यानाकर्षक', 'अनाकर']
['खाड़ीमें', 'निलोइल', 'खाड़ी', 'त्सिनित्ला', 'बोठनिया', 'टोंकिन', 'खम्भात']
['नियुक्\u200dत', 'पुनर्नियुक्त', 'प्रतिनियुक्त', 'नियुकित', 'नियुक्तगैर', 'नियुक्त्', 'नियुक']
['खच्चरो', 'खच्चरटोडी', 'खच्चरोंऔर', 'लगेखच्चर', 'खच्चड़', 'खच्च', 'खच्चराें']
['वरटेब्रा', 'झेब्रा', 'ज़ेब्रा', 'शेब्रा', 'केब्रा', 'जेब्रा', 'जैब्रा']
['nगैंडा', 'गैंडॉ', 'गैंडाबाघ', 'यूगैंडा', 'गैंडें', 'गैंड़ा', 'गैंड़े']
['बोर्डः', 'वक्फबोर्ड', 'बोर्डकी', 'बोर्डक', 'बोर्डके', 'बोर्डC', 'कैरमबोर्ड']
['बोनाB', 'डूबोना', 'बोयें', 'रोपना', 'मेंबोना', 'मिकलॉस', 'बोनाफाईड']
['रोमंथकों', 'रोमं', 'रोमंथिन', 'रोमंथियों', 'ओमेसम', 'ऐंटईटर', 'जलकोश']
['ऊँठगाड़ी', 'बाघगाड़ी', 'काठगाड़ी', 'डाकगाड़ी', 'लाशगाड़ी', 'माटीगाड़ी', 'सेजगाड़ी']
['गोली40', 'गोलीएक', 'गोलीदो', 'गोलियों', 'गोलियाँ', 'गोलिया', 'गोलीई']
['बछियां', 'बछियाँ', '86,364', 'बछियों', 'गोरछिया', 'लछिया', 'परछिया']
['बैलों', 'कोल्हू', 'बौटम', 'जुता', 'गुइसान्डो', 'Pascuala', 'जुतने']
['सुरागरशी', 'सुरागकसी', 'सुरागे', 'सुराग़ी', 'सुरागरसां', 'सुरागकशी', 'सुरागपिता']
['जर्सीयां', '_न्यू_जर्सी', 'नैट्स', 'जर्सीस', 'जर्सीमें', 'फ़ोम', 'जर्स']
['भैंसें', 'भैंसो', 'भैंसकथा', 'भैंसअक्ल', 'भैंसे', 'भैंसि', 'भेंस']
['फरमाइए', 'फरमाए', 'गवला', 'सौन्फने', 'फरमाइयेगा', 'फरमाइये', 'फरमाएँ']
['जंगलीपना', 'जंगलीयत', 'जंगलीभूमि', 'जंगलीपट्टी', 'जंगलीफूलों', 'जंगलीकोई', 'जंगलनींद']
['उडेरिया', 'गंडेरिया', 'खडेरिया', 'मैडेरिया', 'भंडेरिया', 'निडेरिया', 'नीडेरिया']
['भेड़के', 'भेड़पालन', 'भेड़े', 'भेड़न', 'भेड़ें', 'भेड़क', 'भेड़नी']
['मेमनो', 'मेमनन', 'मेमनें', 'मेमनों', 'भेड़िए', 'मेमनी', 'भेड़े']
['भेड़पालन', 'भेड', 'बकरीक', 'लेंड़ी', 'भेड़के', 'बकरियां', 'बकरिया']
['मलपथरी', 'पथरीबल', 'पित्तपथरी', '21mm', 'पथरियां', 'आएनएसएनफ', 'गॉलब्लैडर']
['सेराख', 'सेरांगुन', 'सेरावा', 'सेराचक', 'सेराजेम', 'सेराफिम', 'सेरासालिर']
['ऐन्टीऐलर्जीक', 'ऐन्टी', 'ऐन्टीबाइओटिक', 'ऐन्टीआक्सडन्ट', 'ऐन्टैसिड', 'ऐन्टीडायरियल', '2115824']
['शिंकारा', 'चिंकारों', 'चिंकारे', 'चिंकाराबिश्नोई', 'चिंकीज', 'चिंक्\u200c', 'सिंकारा']
['पत्तरों', 'पत्तरसँ', 'कलपत्तर', 'पत्तरक', 'परेमपत्तर', 'सुपत्तर', 'बेलपत्तर']
['हिरनांद', 'हिरनमगरी', 'हिरनौटी', 'हिरनेर', 'हिरनोटी', 'हिरन', 'हिरन्य']
['हिंदीं', 'हिंदीहिंदी', 'हिदी', 'हिंदीमय', 'हिंदीकोश', 'हिंदीकि', 'अंग्रेजी']
['हयशिर', 'ऊँटों', 'ऊंटों', 'कूबड', 'Camelus', 'Camel', 'कैमुलस']
['लामाओ', 'लामायूरू', 'लामादलाई', 'लामायुरु', 'लामाज', 'दलाईलामा', 'लामासेना']
['आपाका', 'आलपाका', 'दलाय', 'लामा', 'गुआनाको', 'Llama', 'अपाका']
['स्तंभों', 'सिहंस्तंभ', 'स्तंभशीर्षों', 'जयस्तंभ', 'मीलस्तंभ', 'जग्लिंग', 'स्तंभयुक्त']
['त्ज्ळै', 'त्ज्', 'कू6', 'फिफरी', 'रिकट', 'ज़्ह', 'नदीदोह']
['विवेकाधिकार', 'संचय_खेल', 'शून्यों', 'कामकाज', 'सेशून्य', 'शून्यतर', 'बर्ब्ब्']
['जज्जू', 'बिज्जु', 'रिज्जू', 'बिज्जूवाली', 'बिज्जल', 'बिज्जला', 'गज्जू']
['वराला', 'चितरांम', 'धुराला', 'मटराला', 'कोयराला', 'सहराला', 'धराला']
['ज्ञातवास', 'आज्ञातवास', 'फ़ुयु', 'अज्ञातवास', 'अज्ञातवासकाल', 'Gemcutter', 'रातवासा']
['पहलूएक', 'पहलूहॊं', 'पहलूयह', 'पहलूँ', 'पहलु', 'पहलूवों', 'पहलूआंे']
['बिच्छु', 'बिच्\u200dछु', 'डंकों', 'बिच्छू', 'मधुमक्\u200dखी', 'बिच्\u200dछू', 'दंश']
['बारीक़ियां', 'बारीक़ियाँ', 'बारीक़ी', 'बारीकबीनी', 'बारीके', 'बारीक़ियों', 'बारीकि']
['काँटाटोली', 'काँटन', 'काँटालाबुट्टे', 'काँटक', 'काँटीक', 'लड़ियाकाँटा', 'धर्मकाँटा']
['वायुकोश', 'वायुकोणे', 'वायुकोटर', 'वायुकोण', 'वायुकूप', 'वायुकोष्ठों', 'वायुकाय']
['निसिचर', 'सोहहिं', 'कहहिं', 'दो0', 'हहिं', 'भालु', 'भयउ']
['भलमानुस', 'बनमानुष', 'मेकमानुस', 'बनमानुख', 'भलामानुस', 'बनमानुषों', 'वनमानुष']
['बंदरों', 'बंदरकूदनी', 'कंगान', 'बंदरे', 'बंदरको', 'बंदरो', 'हैबंदर']
['ग्वेएरा', 'ग्वेर्रा', 'ग्वेबियोल', 'ग्वेद', 'ग्वेनीन', 'ग्वेंशे', 'ग्वेर्नसी']
['मंगाइद्यै', 'मंगावल', 'मंगाऊँ', 'मंगायब', 'मंगाइब', 'मंगावाए', 'मंगायो']
['चैबे', 'पिलगांवक', 'हो.राम', 'वाडवलकर', 'खलसेकर', 'नैनवानी', 'सकलेच्आ']
['चिंपैजी', 'सीबस', 'जलकाक', 'चिंपैंज़ी', 'ऊटान', 'चिंपैंज', 'नमीबिआई']
['पोंछिए', 'पोंछिये', 'पोंछऽ', 'पोंछ्कर', 'पोंछ्ता', 'पोंछि', 'पोंछेस']
['मैकाय', 'मैकाडम', 'मैकालेवाद', 'मैकाडू', 'परुळेकर', 'मैकास', 'केळेकर']
['ABO', 'Br3', 'आरएचओ', 'RhD', 'rhesus', 'मौरीसस', 'Rhesus']
['लंगूरस', 'लंगूरकुल', 'लंगूरी', 'लंगूल', 'लंगूरों', 'मोलंगूर', 'लंगूचा']
['प्रोकोलोबस', 'कोलोनम', 'कोलोराटा', 'कोलोंस', 'कोलोशी', 'कोलोर', 'कोलोरू']
['साईकोसिस', 'सिंबोसिस', 'इंफ़ोसिस', 'प्रोटमोसिस', 'गमोसिस', 'सियोरोसिस', 'सरकोसिस']
['मार्मोट', 'मार्मोंट', 'Mormoset', 'फ़ार्मोसा', 'फार्मोसल', 'फार्मोसा', 'मार्माडियूक']
['कँजड़ाई', 'दोड़ाई', 'सिपड़ाई', 'ड़ाई', 'ल़ड़ाई', 'भुड़ाई', 'मिड़ाई']
['भूपरिष्करण', 'परिष्करणजड़ों', 'पुनर्परिष्करण', 'परिष्करणशालाओं', 'परिष्कर', 'पुनःपरिष्करण', 'परिष्कॄत']
['प्रलय़ंकारी', 'महामोदकारी', 'हैलोकतांत्रिक', 'निरंहकारी', 'फुँकारी', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'नेताऊंची']
['टीटीइ', 'टीटीओ', 'ईओटीटी', 'टीटीई', 'टीटीआई', 'घिघ्गी', 'टीटीजैड']
['लेमरो', 'स्लेमर', 'श्लेमर', 'क्लेमर', 'लेमरू', 'लेमरा', 'BNPMIPL']
['हाथियों', 'बरकला', 'हाथीवान', 'हाथीजी', 'मोतीखान', 'हाथीघीसा', 'छद्दन्द']
['Rukn', 'मैमथों', 'mammoth', 'मॅस्टोडॉन', 'मैस्टोडॉन', 'Woolly', 'निएंडर्थल']
['काँटाटोली', 'काँटन', 'काँटालाबुट्टे', 'काँटक', 'काँटीक', 'लड़ियाकाँटा', 'धर्मकाँटा']
['मुंडनकुछ', 'मुंडने', "मुंडन'अब", 'मुंडनदंगे', 'मुंडनिका', 'झाडूलो', 'मुंडनगुजरात']
['7अभिषेक', 'डॉ.अभिषेक', '4अभिषेक', '5अभिषेक', 'अभिषेकु', 'अभिषेकवा', 'हैअभिषेक']
['आनंदप्रभ', 'आनंदप्रदान', 'आनंदपूर्ण', 'आनंदप्राप्ति', 'आनंदपट', 'आनंददायी', 'आनंदप्रकाश']
